what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1635837513071
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1635837513438
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1635837513617
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1635837513654
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1635837513919
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1635837514055
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1635837514350
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1635837514368
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1635837514774
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1635837514803
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1635837515264
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1635837515297
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1635837516089
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1635837516333
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1635837517812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1635837518084
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1635837521776
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1635837522040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1635837537494
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1635837556155
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1635837556457
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1635837556544
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1635837556961
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1635837557003
