what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1634882913662
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1634882913662
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1634882913662
java.specification.name,sysinfo,,,"Java Platform API Specification",1634882913662
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1634882913662
java.specification.version,sysinfo,,,"1.6",1634882913662
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1634882913662
java.version,sysinfo,,,"1.6.0_23",1634882913662
java.vm.info,sysinfo,,,"mixed mode",1634882913662
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1634882913662
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1634882913662
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1634882913662
java.vm.specification.version,sysinfo,,,"1.0",1634882913662
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1634882913662
java.vm.version,sysinfo,,,"19.0-b09",1634882913662
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1634882913663
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1634882913669
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1634882913734
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1634882913752
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1634882913759
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1634882913834
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1634882913855
started,bundle,com.altera.sbtgui.integration,11.0.0.208,"com.altera.sbtgui.integration",1634882914077
started,bundle,com.altera.systemconsole,11.0.0.208,"com.altera.systemconsole",1634882914088
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1634882914483
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1634882914753
