what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633677999988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678002295
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633678011233
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1633678023315
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633678038207
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1633678072243
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1633678077448
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1633678086292
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1633678098395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678100028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678102264
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678108077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678110359
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1633678111485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678111512
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678113837
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633678123185
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1633678134964
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633678149388
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1633678165490
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1633678195844
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678198856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678201540
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1633678202648
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678202662
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1633678206191
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1633678215395
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1633678226832
